#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  11  0.100960  3.4779  5.2449 -2.9378 18.3050 15.6040 14.0725 12.5520 11.7160
  12  0.119952  3.4814  5.1824 -2.7863 17.8010 15.1534 13.6414 12.1518 11.3347
  13  0.142711  3.4853  5.1215 -2.6345 17.2959 14.6993 13.2082 11.7508 10.9523
  14  0.167896  3.4904  5.0738 -2.4960 16.8144 14.2638 12.7968 11.3773 10.6009
  15  0.189978  3.4950  5.0415 -2.3915 16.4418 13.9250 12.4794 11.0923 10.3346
  16  0.207839  3.4982  5.0172 -2.3154 16.1770 13.6831 12.2530 10.8876 10.1417
  17  0.223884  3.5007  4.9970 -2.2528 15.9629 13.4867 12.0691 10.7202  9.9832
  18  0.239375  3.5030  4.9790 -2.1967 15.7748 13.3130 11.9067 10.5705  9.8412
  19  0.255650  3.5053  4.9618 -2.1418 15.5916 13.1435 11.7485 10.4242  9.7024
  20  0.276325  3.5080  4.9416 -2.0769 15.3767 12.9443 11.5631 10.2524  9.5394
  21  0.294594  3.5103  4.9260 -2.0241 15.2007 12.7808 11.4115 10.1118  9.4065
  22  0.305219  3.5116  4.9192 -1.9969 15.1109 12.6967 11.3337 10.0395  9.3382
  23  0.312119  3.5124  4.9148 -1.9796 15.0539 12.6434 11.2843  9.9936  9.2948
  24  0.316926  3.5129  4.9105 -1.9666 15.0118 12.6041 11.2479  9.9593  9.2622
  25  0.320461  3.5133  4.9065 -1.9562 14.9785 12.5733 11.2193  9.9322  9.2362
  26  0.322429  3.5132  4.9076 -1.9550 14.9771 12.5713 11.2168  9.9294  9.2331
  27  0.324207  3.5138  4.9098 -1.9523 14.9610 12.5559 11.2038  9.9197  9.2258
  28  0.326111  3.5140  4.9058 -1.9450 14.9388 12.5356 11.1849  9.9012  9.2077
  29  0.328312  3.5143  4.9017 -1.9370 14.9142 12.5131 11.1639  9.8809  9.1880
  30  0.329864  3.5145  4.9056 -1.9377 14.9128 12.5110 11.1624  9.8811  9.1894
  31  0.332931  3.5149  4.9014 -1.9282 14.8829 12.4833 11.1368  9.8566  9.1657
  32  0.337316  3.5154  4.8999 -1.9191 14.8522 12.4543 11.1101  9.8320  9.1428
  33  0.345730  3.5163  4.8946 -1.8995 14.7882 12.3942 11.0547  9.7800  9.0936
  34  0.484077  3.5406  4.7758 -1.5374 13.5771 11.2457 10.0285  8.8096  8.1943
  35  0.507590  3.5467  4.7549 -1.4711 13.3619 11.0305  9.8402  8.6289  8.0317
  36  0.530347  3.5538  4.7358 -1.4048 13.1490 10.8093  9.6456  8.4465  7.8704
  37  0.551358  3.5611  4.7191 -1.3417 12.9480 10.5887  9.4467  8.2720  7.7183
  38  0.570849  3.5686  4.7041 -1.2817 12.7580 10.3688  9.2424  8.1048  7.5751
  39  0.589277  3.5762  4.6904 -1.2240 12.5747 10.1464  9.0298  7.9407  7.4380
  40  0.605903  3.5834  4.6784 -1.1711 12.4015  9.9273  8.8132  7.7834  7.3116
  41  0.621129  3.5903  4.6678 -1.1222 12.2347  9.7101  8.5924  7.6309  7.1938
  42  0.635073  3.5968  4.6582 -1.0770 12.0759  9.5015  8.3772  7.4865  7.0850
  43  0.648354  3.6031  4.6493 -1.0338 11.9194  9.2972  8.1644  7.3461  6.9816
  44  0.661234  3.6093  4.6410 -0.9920 11.7635  9.0986  7.9565  7.2094  6.8828
  45  0.673082  3.6151  4.6333 -0.9535 11.6145  8.9143  7.7643  7.0828  6.7921
  46  0.684035  3.6206  4.6265 -0.9178 11.4711  8.7426  7.5872  6.9655  6.7084
  47  0.694269  3.6257  4.6200 -0.8845 11.3338  8.5854  7.4291  6.8580  6.6303
  48  0.703993  3.6305  4.6139 -0.8529 11.1990  8.4380  7.2853  6.7575  6.5561
  49  0.713219  3.6352  4.6082 -0.8230 11.0671  8.2999  7.1539  6.6636  6.4858
  50  0.721941  3.6396  4.6028 -0.7948 10.9384  8.1708  7.0340  6.5761  6.4192
  51  0.730188  3.6437  4.5977 -0.7682 10.8128  8.0502  6.9247  6.4947  6.3562
  52  0.736391  3.6468  4.5938 -0.7483 10.7146  7.9604  6.8456  6.4343  6.3084
  53  0.742516  3.6498  4.5900 -0.7286 10.6158  7.8726  6.7697  6.3755  6.2612
  54  0.748561  3.6529  4.5863 -0.7093 10.5154  7.7861  6.6964  6.3179  6.2144
  55  0.754484  3.6557  4.5824 -0.6904 10.4169  7.7033  6.6272  6.2626  6.1688
  56  0.760216  3.6587  4.5789 -0.6719 10.3165  7.6214  6.5601  6.2085  6.1239
  57  0.765795  3.6615  4.5752 -0.6539 10.2182  7.5430  6.4966  6.1567  6.0802
  58  0.771262  3.6643  4.5718 -0.6361 10.1179  7.4652  6.4349  6.1058  6.0369
  59  0.776653  3.6670  4.5682 -0.6186 10.0192  7.3904  6.3760  6.0567  5.9944
  60  0.782004  3.6698  4.5648 -0.6012  9.9186  7.3157  6.3181  6.0081  5.9520
  61  0.787349  3.6724  4.5610 -0.5839  9.8195  7.2431  6.2623  5.9606  5.9101
  62  0.792717  3.6751  4.5574 -0.5666  9.7181  7.1703  6.2068  5.9130  5.8679
  63  0.798127  3.6777  4.5533 -0.5492  9.6186  7.0993  6.1527  5.8661  5.8258
  64  0.803602  3.6803  4.5491 -0.5316  9.5165  7.0276  6.0984  5.8189  5.7831
  65  0.809128  3.6828  4.5446 -0.5140  9.4159  6.9572  6.0449  5.7719  5.7405
  66  0.814677  3.6854  4.5402 -0.4962  9.3130  6.8859  5.9908  5.7245  5.6975
  67  0.820206  3.6879  4.5354 -0.4785  9.2127  6.8166  5.9380  5.6777  5.6548
  68  0.825690  3.6904  4.5306 -0.4607  9.1116  6.7474  5.8854  5.6311  5.6121
  69  0.831092  3.6928  4.5256 -0.4432  9.0141  6.6804  5.8342  5.5855  5.5701
  70  0.836395  3.6952  4.5206 -0.4259  8.9175  6.6144  5.7838  5.5404  5.5286
  71  0.841576  3.6975  4.5155 -0.4089  8.8250  6.5508  5.7350  5.4965  5.4881
  72  0.846591  3.6998  4.5104 -0.3924  8.7362  6.4895  5.6875  5.4539  5.4486
