#EEP   M/Mo  LogTeff   LogG  LogL/Lo     u       g       r       i       z  
  12  0.102991  3.5331  5.3708 -2.8341 17.7070 14.3708 12.6440 11.8082 11.4239
  13  0.113917  3.5388  5.3184 -2.7152 17.1803 13.9762 12.2859 11.4990 11.1364
  14  0.126375  3.5447  5.2647 -2.5928 16.6569 13.5740 11.9215 11.1802 10.8391
  15  0.141248  3.5512  5.2130 -2.4668 16.1282 13.1595 11.5484 10.8509 10.5321
  16  0.157397  3.5578  5.1724 -2.3529 15.6484 12.7798 11.2107 10.5516 10.2539
  17  0.172069  3.5634  5.1440 -2.2632 15.2682 12.4772 10.9453 10.3153 10.0346
  18  0.185435  3.5681  5.1213 -2.1895 14.9624 12.2306 10.7300 10.1216  9.8541
  19  0.199666  3.5723  5.0988 -2.1180 14.6775 11.9968 10.5254  9.9353  9.6789
  20  0.220152  3.5772  5.0699 -2.0270 14.3287 11.7058 10.2698  9.6995  9.4555
  21  0.244903  3.5822  5.0408 -1.9315 13.9697 11.4038 10.0047  9.4533  9.2211
  22  0.262809  3.5855  5.0231 -1.8699 13.7388 11.2093  9.8348  9.2950  9.0702
  23  0.276860  3.5879  5.0106 -1.8253 13.5719 11.0686  9.7121  9.1805  8.9609
  24  0.287867  3.5897  5.0011 -1.7916 13.4462 10.9626  9.6198  9.0942  8.8784
  25  0.297215  3.5912  4.9932 -1.7638 13.3427 10.8753  9.5441  9.0234  8.8106
  26  0.305466  3.5925  4.9868 -1.7404 13.2545 10.8013  9.4802  8.9637  8.7534
  27  0.311835  3.5935  4.9824 -1.7232 13.1905 10.7475  9.4337  8.9201  8.7117
  28  0.316744  3.5942  4.9793 -1.7105 13.1426 10.7073  9.3991  8.8878  8.6808
  29  0.320809  3.5948  4.9773 -1.7005 13.1035 10.6750  9.3716  8.8623  8.6565
  30  0.324260  3.5953  4.9751 -1.6916 13.0690 10.6465  9.3473  8.8396  8.6348
  31  0.327727  3.5959  4.9731 -1.6827 13.0344 10.6179  9.3230  8.8171  8.6134
  32  0.331185  3.5964  4.9708 -1.6736 12.9987 10.5884  9.2980  8.7938  8.5912
  33  0.335100  3.5971  4.9680 -1.6632 12.9584 10.5551  9.2697  8.7675  8.5660
  34  0.339588  3.5978  4.9645 -1.6511 12.9116 10.5164  9.2368  8.7368  8.5366
  35  0.344743  3.5986  4.9601 -1.6367 12.8564 10.4706  9.1979  8.7004  8.5018
  36  0.352109  3.5998  4.9531 -1.6157 12.7754 10.4035  9.1408  8.6470  8.4507
  37  0.383288  3.6069  4.9219 -1.5194 12.3725 10.0801  8.8744  8.4014  8.2175
  38  0.410943  3.6152  4.8918 -1.4257 11.9561  9.7509  8.6099  8.1601  7.9906
  39  0.424762  3.6202  4.8758 -1.3755 11.7281  9.5699  8.4658  8.0297  7.8688
  40  0.437098  3.6250  4.8611 -1.3291 11.5172  9.4017  8.3323  7.9094  7.7569
  41  0.448941  3.6298  4.8468 -1.2840 11.3121  9.2375  8.2020  7.7926  7.6488
  42  0.460602  3.6347  4.8323 -1.2389 11.1066  9.0731  8.0713  7.6760  7.5411
  43  0.471561  3.6395  4.8183 -1.1954 10.9040  8.9126  7.9443  7.5631  7.4372
  44  0.481824  3.6443  4.8054 -1.1538 10.7052  8.7577  7.8225  7.4553  7.3385
  45  0.491449  3.6492  4.7940 -1.1144 10.5103  8.6090  7.7068  7.3532  7.2453
  46  0.500403  3.6540  4.7839 -1.0774 10.3226  8.4682  7.5980  7.2576  7.1583
  47  0.508547  3.6587  4.7756 -1.0433 10.1448  8.3369  7.4972  7.1693  7.0784
  48  0.516103  3.6633  4.7683 -1.0110  9.9734  8.2122  7.4018  7.0860  7.0032
  49  0.523519  3.6681  4.7616 -0.9789  9.8005  8.0884  7.3072  7.0032  6.9286
